"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","WESD","WESF"
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-23",,,"0.32","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-24",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-25",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-26",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-27",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-28",,,"0.06","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-29",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-06-30",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-01",,,"0.07",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-02",,,"1.87",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-03",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-04",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-05",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-06",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-07",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-08",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-09",,,"0.04","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-10",,,"0.07",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-11",,,"0.50",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-12",,,"0.02",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-13",,,"0.02",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-14",,,"0.22","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-15",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-16",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-17",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-18",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-19",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-20",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-21",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-22",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-23",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-24",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-25",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-26",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-27",,,"0.18",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-28",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-29",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-30",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-07-31",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-01",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-02",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-03",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-04",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-05",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-06",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-07",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-08",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-09",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-10",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-11",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-12",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-13",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-14",,,"0.54",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-15",,,"0.04",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-16",,,"0.07",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-17",,,"0.10",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-18",,,"1.17",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-19",,,"0.05",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-20",,,"0.19",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-21",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-22",,,"0.03",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-23",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-24",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-25",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-26",,,"0.03",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-27",,,"0.07",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-28",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-30",,,"1.37",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-08-31",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-01",,,"0.85",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-02",,,"0.43",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-03",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-04",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-05",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-06",,,"0.23",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-07",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-08",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-09",,,"0.14","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-10",,,"0.14",,,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-11",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-12",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-13",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-14",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-15",,,"0.00","0.0",,,
"US1VAMN0009","BLACKSBURG 5.0 W, VA US","2021-09-16",,,"0.00",,,,
