"Plot Title: David"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20195878, SEN S/N: 20195878)","Full Range, μS/cm (LGR S/N: 20195878, SEN S/N: 20195878)","Temp, °F (LGR S/N: 20195878, SEN S/N: 20195878)","Bad Battery (LGR S/N: 20195878)","Coupler Detached (LGR S/N: 20195878)","Good Battery (LGR S/N: 20195878)","End Of File (LGR S/N: 20195878)"
1,12/22/20 11:04:52 AM,2.4,2.5,45.36,Logged,,,
2,12/22/20 11:05:14 AM,,,,,Logged,,
3,12/22/20 11:14:52 AM,13.0,10.3,43.61,,,Logged,
4,12/22/20 11:24:52 AM,12.9,10.3,43.65,,,,
5,12/22/20 11:34:52 AM,12.9,10.3,43.66,,,,
6,12/22/20 11:44:52 AM,12.8,9.9,43.74,,,,
7,12/22/20 11:54:52 AM,13.0,10.3,43.74,,,,
8,12/22/20 12:04:52 PM,13.0,10.3,43.77,,,,
9,12/22/20 12:14:52 PM,13.0,10.3,43.79,,,,
10,12/22/20 12:24:52 PM,13.0,10.3,43.79,,,,
11,12/22/20 12:34:52 PM,13.0,9.9,43.77,,,,
12,12/22/20 12:44:52 PM,13.0,10.3,43.75,,,,
13,12/22/20 12:54:52 PM,13.0,10.3,43.77,,,,
14,12/22/20 01:04:52 PM,13.0,10.3,43.83,,,,
15,12/22/20 01:14:52 PM,13.0,10.3,43.84,,,,
16,12/22/20 01:24:52 PM,13.2,10.3,43.84,,,,
17,12/22/20 01:34:52 PM,13.0,10.3,43.83,,,,
18,12/22/20 01:44:52 PM,13.0,10.3,43.83,,,,
19,12/22/20 01:54:52 PM,13.0,9.9,43.84,,,,
20,12/22/20 02:04:52 PM,13.0,9.9,43.84,,,,
21,12/22/20 02:14:52 PM,13.0,10.3,43.84,,,,
22,12/22/20 02:24:52 PM,13.0,9.9,43.79,,,,
23,12/22/20 02:34:52 PM,13.0,9.9,43.77,,,,
24,12/22/20 02:44:52 PM,13.0,9.9,43.79,,,,
25,12/22/20 02:54:52 PM,13.0,10.3,43.77,,,,
26,12/22/20 03:04:52 PM,13.0,9.9,43.77,,,,
27,12/22/20 03:14:52 PM,13.0,10.3,43.77,,,,
28,12/22/20 03:24:52 PM,13.0,10.3,43.75,,,,
29,12/22/20 03:34:52 PM,13.0,10.3,43.72,,,,
30,12/22/20 03:44:52 PM,13.0,10.3,43.70,,,,
31,12/22/20 03:54:52 PM,13.0,10.3,43.72,,,,
