Site,Date,Li,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Fe,Mn,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Sn,Ba,Pb,U
MCD1,9/12/2025,2.4,"3,092.2","2,534.0",7.1,"4,639.0",21.1,5.3,0.7,"1,615.3","3,000.4",0.7,0.1,0.0,60.3,31.1,0.2,1.0,0.4,44.5,0.2,0.2,17.5,0.2,0.1,61.5,0.1,0.0
CHY1,9/13/2025,3.1,"1,827.3","2,374.5",7.3,"4,662.1",-1.9,3.6,0.5,"1,316.4","3,120.1",0.7,0.1,0.1,16.3,6.3,0.6,1.9,0.2,4.7,0.1,0.1,13.9,0.0,0.0,54.2,0.0,0.0
DFT1,9/12/2025,0.8,"8,187.4","4,101.4",13.0,"3,114.2",4.7,6.3,10.5,"1,485.0","5,949.7",0.7,0.3,0.0,63.8,12.9,0.1,0.5,0.2,11.2,0.2,0.2,26.1,0.0,0.0,35.1,0.0,0.0
FSV1,9/17/2025,0.4,"4,242.0","1,919.7",2.0,"2,838.2",1.5,3.7,4.5,"1,078.8","3,380.3",0.1,0.1,0.0,0.8,7.7,0.0,0.6,0.1,9.3,0.1,0.1,15.2,0.0,0.0,45.0,0.0,0.0
BST1,9/17/2025,1.9,"2,308.0","2,600.0",15.5,"5,350.1",6.3,3.8,0.3,"1,538.2","4,828.9",0.5,0.1,0.1,555.6,233.1,1.2,2.6,0.3,9.1,0.9,0.1,24.0,0.0,0.0,64.7,0.1,0.0
SRT1,9/17/2025,2.1,"2,350.5","1,349.6",15.2,"4,290.8",2.9,3.9,0.3,986.5,"2,226.4",0.3,0.1,0.0,18.2,35.9,0.2,2.0,0.2,10.6,0.1,0.0,15.5,-0.1,0.0,57.3,0.0,0.0
JPY1,9/17/2025,0.3,"11,168.7","5,692.9",0.7,"2,824.5",4.0,1.7,13.2,"1,536.0","10,707.5",0.1,0.3,0.1,148.7,"2,471.5",2.0,1.1,0.3,12.0,0.2,0.2,43.2,0.0,0.0,71.3,0.0,0.0
LSR1,9/17/2025,1.7,"2,284.0","2,004.7",12.4,"4,094.7",7.2,3.2,0.4,"1,382.9","3,861.9",0.3,0.1,0.0,99.7,55.7,0.4,2.1,0.3,13.5,0.2,0.0,21.3,-0.1,0.0,69.1,0.1,0.0
MCD1,9/28/2025,2.3,"2,759.6","2,186.0",15.8,"4,500.2",11.6,4.9,0.5,"1,804.0","2,973.7",-3.6,0.1,0.1,45.8,4.3,0.6,2.5,0.5,27.4,0.1,0.1,15.3,-0.1,0.0,34.9,0.0,0.0
SCH1,9/28/2025,3.4,"2,596.0","2,305.2",30.4,"4,917.4",9.9,5.6,0.6,"1,673.6","2,757.7",0.7,0.1,0.1,84.9,1.9,0.1,1.3,0.4,13.9,0.1,0.0,15.7,-0.1,0.0,54.9,0.0,0.0
CHY1,9/28/2025,3.3,"2,065.7","2,524.8",7.5,"4,743.9",6.3,3.5,0.4,"1,487.2","3,010.1",0.5,0.1,0.0,14.0,3.2,0.0,1.5,0.4,11.9,0.1,0.1,14.6,0.1,0.0,70.1,0.0,0.0
DFT1,9/28/2025,0.8,"7,350.7","4,066.3",16.9,"3,123.9",7.9,5.6,8.7,"2,024.0","5,931.6",0.6,0.3,0.1,81.3,13.5,0.1,0.9,0.3,11.9,0.2,0.2,26.4,0.0,0.0,48.1,0.0,0.0
FSV1,9/28/2025,0.8,"3,259.0","1,976.0",74.5,"3,055.0",9.7,3.9,2.4,"1,299.2","3,655.2",1.8,0.3,0.1,242.8,12.9,0.1,1.7,0.6,13.9,0.3,0.1,16.4,0.0,0.0,52.8,0.1,0.0
BST1,9/28/2025,1.4,"1,364.4","1,252.9",89.7,"3,479.9",9.7,4.0,0.2,"1,141.1","2,216.1",-1.5,0.2,0.1,120.2,5.1,0.1,1.7,0.5,17.3,0.2,0.1,11.1,0.0,0.0,44.3,0.1,0.0
MPL1,9/28/2025,0.9,749.2,"1,135.7","1,290.8","2,866.0",24.4,1.5,0.0,"3,364.8","1,947.4",23.0,1.8,1.0,858.3,220.9,4.2,3.9,1.8,17.5,0.7,0.2,10.6,0.0,0.0,60.4,0.6,0.1
SRT1,9/28/2025,1.8,"1,377.0",887.2,312.0,"3,930.7",11.7,3.0,0.2,859.7,"1,379.8",6.2,0.6,0.3,409.6,6.2,0.1,1.7,0.5,13.0,0.2,0.0,9.3,-0.1,0.0,46.9,0.2,0.0
